InstitutionCode,CollectionCode,CollectionName
NHA,,University of New Hampshire
NY,,The New York Botanical Garden
NCU,,University of North Carolina Chapel Hill Herbarium
CONN,,University of Connecticut
MICH,,University of Michigan
F,,Field Museum of Natural History
DUKE,,Duke University
UC,,"University Herbarium, University of California, Berkeley"
UCSB,,"University of California, Santa Barbara"
SD,,San Diego Natural History Museum
GMS,,Hopkins Marine Station
HSC,,Humboldt State University
DAV,,"University of California, Davis"
UT,,University of Utah
IRVC,,"University of California, Irvine"
RESC,,Shasta College
BPBM,BISH,Herbarium Pacificum
UHM,HAW-A,University of Hawaii at Manoa
GUAM,GH,University of Guam Marine Macrophyte Collection
ALAJ,,University of Alaska Southeast
FH,,Farlow Herbarium (Harvard University)
UNA,,University of Alabama
LSU,Algae,Shirley C. Tucker Herbarium at Louisiana State University
YUO,,Youngstown State University
KIRI,,University of Rhode Island
WTU,,University of Washington
FHL,,Friday Harbor Laboratories
ALA,,University of Alaska Museum
OSC,,Oregon State University
MASS,,University of Massachusetts - Amherst
YPM,YU,Yale University Herbarium
BRU,,Brown University
PAUH,,University of Texas - Pan American
USF,,University of South Florida
UTMSI,,University of Texas Marine Science Institute
MU,,Miami University
MOT,,Mote Marine Lab
NEBC,,New England Botanical Club
TAES,,"Texas A & M University, S. M. Tracy Herbarium"
USCH,,"University of South Carolina, Andrew Charles Moore Herbarium"
FLAS,,"University of Florida, Florida Museum of Natural History"
BUT,,Butler University
WNC,,"University of North Carolina Wilmington, David J. Sieren Herbarium"
MSC,,Michigan State University
PH,,"Drexel University, Academy of Natural Sciences"
VT,,"University of Vermont, Pringle Herbarium, Algae Collection"
BKL,,Brooklyn Botanic Garden
CHRB,,"Rutgers University, Chrysler Herbarium"
NYS,,New York State Museum
PTBG,,National Tropical Botanical Garden
WVA,,West Virginia University
BRIT,,Botanical Research Institute of Texas
ILL,,University of Illinois Herbarium
ILLS,,"University of Illinois, Illinois Natural History Survey Fungarium"
MOR,,Morton Aboretum
ILLS,,Illinois Natural History Survey
BUT,,"Butler University, Friesner Herbarium"
ND,,"University of Notre Dame, Greene/Nieuwland Herbarium"
CMC,,Central Michigan University
MICH,,University of Michigan Herbarium
MIN,,J. F. Bell Museum of Natural History Herbarium
NY,,New York Botanical Garden
MU,,"Miami University, Willard Sherman Turrell Herbarium"
OS,,Ohio State University Herbarium - Plants
BHO,,"Ohio University, Bartley Herbarium"
WIS,,"University of Wisconsin-Madison, Wisconsin State Herbarium"
UWSP,,"University of Wisconsin-Stevens Point, Robert W. Freckmann Herbarium"
UWL,,University of Wisconsin-LaCrosse
UWM,,University of Wisconsin-Milwaukee
MT,,Université de Montréal Biodiversity Centre
UWZM,F,University of Wisconsin-Madison Zoological Museum - Fish
UMMZ,F,University of Michigan Museum of Zoology - Fish
UMMZ,MOL,University of Michigan Museum of Zoology - Mollusks
ALBC,,Albion College
UWZM,M,University of Wisconsin-Madison Zoological Museum - Mollusks
EMC,,Eastern Michigan University Herbarium
MIL,,Milwaukee Public Museum
SENEY,,Seney National Wildlife Refuge
WMU,,Western Michigan University
JFBM,F,J. F. Bell Museum of Natural History - Fish
JFBM,M,J. F. Bell Museum of Natural History - Mollusks
OS,F,Ohio State University Museum of Biological Diversity - Fish Division
OS,M,Ohio State University Museum of Biological Diversity - Mollusc Division
QUE,,Herbier du Québec (QUE) – Collection de plantes vasculaires
ACAD,,E. C. Smith Herbarium
TRT,,Green Plant Herbarium
HIBG,,Harriet Irving Botanical Gardens
QFA,,Herbier Louis-Marie (QFA) - Collection de plantes vasculaires
MT,,Marie-Victorin Herbarium
JBM,,Jardin Botanique de Montréal
OAS,,"Herbarium, Biodiversity Centre of Ontario"
TRTE,,University of Toronto at Mississauga Herbarium
UBC,,University of British Columbia Herbarium
WIN,,University of Manitoba Vascular Plant Herbarium
ILLS,F,Illinois Natural History Survey - Fish
ILLS,M,Illinois Natural History Survey - Mollusks
F,F,Field Museum of Natural History - Fish
F,M,Field Museum of Natural History - Mollusks
CALVIN,,Calvin College
GVSC,,Grand Valley State University
HCHM,,Hope College
HLSD,,Hillsdale College Herbarium
CMN,CANM,Canadian Museum of Nature
MO,,Missouri Botanical Garden
DUKE,,Duke University Herbarium
WTU,,University of Washington Herbarium
VT,,"University of Vermont, Pringle Herbarium, North American bryophytes"
USU,UTC,Intermountain Herbarium (Utah State University)
CNABH,,General Observation and Personal Collections
PH,,Academy of Natural Sciences of Drexel University
VSC,,Valdosta State University
FLAS,,University of Florida Herbarium
