InstitutionCode,CollectionCode,CollectionName
CSU,CSUC, C.P. Gillette Museum of Arthropod Diversity
DBG,DBGA, Collection of Arthropods
UNL,NA, Insect Division
OSEC,NA, K. C. Emerson Museum
,PCNZ, Lincoln Plant Health Station
,NZAC, New Zealand Arthropod Collection
,PPCC, Plant Protection Centre Collection
SRSC,,A. Michael Powell Herbarium
ANSP,ENT,Academy of Natural Sciences Entomology Collection - Live Data
PH,,Academy of Natural Sciences of Drexel University
ACAD,,"Acadia University, E. C. Smith Herbarium"
CONABIO,CAIM,"Actualización de la Colección de Artrópodos con importancia médica (CAIM), Laboratorio de Entomología, InDRE"
ISC,,Ada Hayden Herbarium (Iowa State University)
ISC,,Ada Hayden Herbarium at Iowa State University
ALAM,,Adams State University Herbarium
ETH,,Addis Ababa University
OAI,?,Agricultural Scientific Collections Unit
ALBC,,Albion College
USU,NA,American Entomological Institute
NPS,AMIS,Amistad National Recreation Area
AUB,,Andrews University Herbarium
CAS,ANTWEB,AntWeb
CONABIO,LSPG,Apoyo para la infraestructura de la colección de artrópodos con y sin importancia médica del Laboratorio estatal de Salud Pública del estado de Guanaj
BOON,,"Appalachian State University, I. W. Carpenter, Jr. Herbarium"
ARCH,herbarium,Archbold Biological Station
ABS,ARTHARCH,Archbold Biological Station Arthropod Collection
ASU,Bryophytes,Arizona State University
ASU,ASUCOB,Arizona State University Charles W. O'Brien Collection
ASU,Seeds,Arizona State University Fruit and Seed Collection
ASU,ASUHIC,Arizona State University Hasbrouck Insect Collection
ASU,,Arizona State University Lichen Herbarium
ASU,ASULOB,Arizona State University Lois B. O'Brien Collection
ASU,Pollen,Arizona State University Pollen Collection
ASU,Plants,Arizona State University Vascular Plant Herbarium
AWC,,Arizona Western College Herbarium
ANHC,,Arkansas Natural Heritage Commission Herbarium
STAR,,Arkansas State University
APCR,,Arkansas Tech University Herbarium
AASU,,Armstrong State University Herbarium
NA,NA,Army Ant & Guest Collection
ABS,ARTHARCH,Arthropod Collection
CUAC,CUAC,Arthropod Collection
CC-OBE,COCOA,Arthropod Collection
OSAC,OSAC,Arthropod Collection
NDUC,NA,Arthropod Collection
BYU,BYUC,Arthropod Museum
LSU,NA,Arthropod Museum
NA,NA,Arthropod Museum 
AUMNH,AUM,Auburn University Museum of Natural History
AUA,,"Auburn University, John D. Freeman Herbarium"
AUGIE,,Augustana College
APSC,,Austin Peay State University Herbarium
AM,AM,Australian Museum Entomology Collection
CSIRO,ANIC,Australian National Insect Collection
NPS,BAND,Bandelier National Monument
THA,Bark Beetles,Bark and Ambrosia Beetles of the New World
USDA,ARS,Bee Biology and Systematics Laboratory
MIN,,"Bell Museum of Natural History, lichen section, Univ. of Minnesota"
MIN,,"Bell Museum of Natural History, the University of Minnesota"
HWBA,,Benedictine College Herbarium
BENN,,Bennington College Herbarium
BEREA,,"Berea College, Ralph L. Thompson Herbarium"
HSMNCH,BPBM,Bernice P. Bishop Museum
CONABIO,UADY,Biodiversidad de la apifauna de Yucatán
CONABIO,BST,"Biodiversidad de la Sierra Tarahumara. Lepidoptera: Mimallonoidea, Lasiocampoidea, Bombycoidea y Pyraloidea"
UCMS,NA,Biodiversity Research Collections - Insects
DAF,?,Biosecurity Queensland Cairns Collection
BISH,,"Bishop Museum, Herbarium Pacificum"
USFS,BNFH,Bitterroot National Forest Herbarium
BHSU,BHSC,Black Hills State University Herbarium
BLM,RD,BLM Herbarium - Redding FO
BLM,MLFO,BLM Mother Lode Field Office: The Bees of Pine Hill Preserve
SRP,,Boise State University Lichen Herbarium
BRIT,,Botanical Research Institute of Texas
BTA,Plants,Boyce Thompson Arboretum
EKUY,,Branson Museum of Zoology - Arthropods
EKUY,NA,Branson Museum of Zoology - Arthropods
N/A,,Brazil SpeciesLink data from iDigBio
BDWR,,Bridgewater College Herbarium
BRY,,Brigham Young University
BYU,BYUC,Brigham Young University Arthropod Museum
BRY,V,"Brigham Young University, S. L. Welsh Herbarium"
BRIT,,BRIT Philecology Herbarium
BKL,,Brooklyn Botanic Garden
BRU,,Brown University
BRU,,Brown University Herbarium
BLM,Carlsbad,"Bureau of Land Management, Carlsbad Field Office"
BLM,LCDO,"Bureau of Land Management, Las Cruces District Office"
BLM,SLV,"Bureau of Land Management, San Luis Valley Field Office"
BLM,TAFO,"Bureau of Land Management, Taos Field Office"
BCWS,,"Burgundy Center for Wildlife Studies, Coopers Cove Herbarium"
BUT,,Butler University
BUT,,"Butler University, Friesner Herbarium"
BUT,IPA,"Butler University, Friesner Herbarium, Indiana Plant Atlas"
OSU,OSU,C.A. Triplehorn Insect Collection
CSU,CSUC,C.P. Gillette Museum of Arthropod Diversity
BLM,CFOBLM,"Caliente Field Office, Bureau of Land Management"
CAS,,California Academy of Sciences
CAS,ENT,California Academy of Sciences Entomology
CHSC,,"California State University Chico, Chico State Herbarium"
CSUEB,CSUEBNHM,California State University East Bay Natural History Museum
CALVIN,,Calvin College
CAU,,Campbell University Herbarium
CMN,CANM,Canadian Museum of Nature
CM,Mollusks,Carnegie Museum of Natural History - Mollusks
CM,,Carnegie Museum of Natural History Herbarium
BLM,CAR,Carson City District BLM Herbarium
COCO,,"Carter Herbarium, Colorado College"
CONABIO,CCE,Catálogo de insectos de la colección del Centro de Entomología
CONABIO,CRLN,"Catálogo y recopilación de datos científicos de los lepidópteros nocturnos de México, pertenecientes a cinco familias"
CMC,,Central Michigan University
CHAS,MAL,Chicago Academy of Sciences
CHIC,,Chicago Botanic Garden
AVCH,,City of Alexandria Herbarium
CU,CUAC,Clemson University Arthropod Collection
CLEMS,,Clemson University Herbarium
CLEV,CMNHENT,Cleveland Museum of Natural History Invertebrate Zoology Collection
SBBG,,"Clifton Smith Herbarium, Santa Barbara Botanic Garden"
CCH,,Cochise County Herbarium
USFS,COC,Coconino National Forest Herbarium
CONABIO,CISC,Colección de insectos agrícolas del proyecto diversidad en sistemas de cultivos
UniSierra,UniSierra-Invertebrates,Colección de Invertebrados de la Universidad de la Sierra
CONABIO,CLQR,Colección de referencia de vectores de Leishmania spp (causante de Leshmaniasis cutánea localizada) de la Península de Yucatán y un estudio preliminar
UAQ,UAQE,Colección Zoológica de la Universidad Autónoma de Querétaro
GRCH,,Colgate University - George R. Cooley Herbarium
UMBC,QMOR,Collection Entomologique Ouellet-Robert
NMSU,NA,Collection of Arthropods
GMNH,UGCA,Collection of Arthropods
FMNH,FMNHINS,"Collection of Insects, Arachnids, and Myriapods"
HCOA,,"College of the Atlantic, Acadia National Park Herbarium"
WILLI,,College of William and Mary Herbarium
MESA,,"Colorado Mesa University, Walter A. Kelley Herbarium"
NAU,NAUF3A,Colorado Plateau Biodiversity Center- Mollusk Collection
NAUF,CPMAB,Colorado Plateau Museum of Arthropod Biodiversity
PUSC,,Colorado State University - Pueblo
CS,,Colorado State University Herbarium
COLG,,Columbus State University Herbarium
CONABIO,CFS,Computarización de abejas de la colección entomológica de la Frontera Sur
CONABIO,CMZ,"Computarización de la colección de abejas (Hymenoptera: Apoidea) del Museo de Zoología Alfonso L. Herrera, de la Facultad de Ciencias de la UNAM"
CONABIO,CCNBM,Computarización de la Colección Nacional de insectos Dr. Alfredo Barrera Marín del Museo de Historia Natural de la Ciudad de México
CONABIO,CLMZ,"Computarización y actualización de la curación de la Colección de Lepidóptera del Museo de Zoología ""Alfonso L. Herrera"" y su base de datos MARIPOSA. "
CONV,,Converse College Herbarium
MOVC,,Cornell College Herbarium
CUP,,Cornell University Plant Pathology Herbarium
CUP,,"Cornell University, Plant Pathology Herbarium"
MCTC,,"Cryptogamic Herbarium, Michigan Technological University"
SNM,,Dale A. Zimmerman Herbarium at Western New Mexico University
DEWV,,Davis & Elkins College Herbarium
ASC,,Deaver Herbarium (Northern Arizona University)
DMNH,Mollusk,Delaware Museum of Natural History – Mollusks
DOV,,"Delaware State University, Claude E. Phillips Herbarium"
DSC,,Delta State University
DBG,DBG,"Denver Botanic Garden, Sam Mitchel Herbarium of Fungi"
DBG,DBGA,Denver Botanic Gardens Collection of Arthropods
DMNS,INVERT,Denver Museum of Nature & Science
DMNS,Arac,Denver Museum of Nature & Science - Arachnology
DMNS,Ento,Denver Museum of Nature & Science - Entomology
UK,NA,Department of Entomology Collection
DES,,Desert Botanical Garden Herbarium
NPS,DETO,Devils Tower National Monument
DSUND,,Dickinson State University Herbarium
UWYMED,ENT,Dillon Lab Insect Collection
CONABIO,RBTC,"Diversidad de abejas (Hymenoptera: Apoidea) de la Reserva de la Biosfera El Triunfo, Chiapas"
CONABIO,DIBT,"Diversidad de ocho grupos de insecta (Odonata, Lycidae, Phengodidae, Lampyridae, Cantharidae, Cerambycidae, Syrphidae y Vespidae) en tres regiones con"
DMBC,NA,Dominick Collection
ENMU,NA,"Dr. Antonio ""Tony"" Gennaro Natural History Museum"
PH,,"Drexel University, Academy of Natural Sciences"
DUGWAY,DUG-ENT,Dugway Proving Ground Natural History Collection
DUKE,,Duke University
DUKE,,Duke University Herbarium
DUKE,,"Duke University, Herbarium Fungal Collection"
ACAD,,E. C. Smith Herbarium
ACAD,,"E. C. Smith Herbarium, Acadia University"
UASM,NA,E. H. Strickland Entomological Museum
TTC,,E.L. Reed Herbarium at Texas Tech University
EAR,,Earlham College
ECUH,,East Carolina University Herbarium
ETSU,,East Tennessee State University Herbarium
EIU,,Eastern Illinois University
EKU,Mollusks,Eastern Kentucky University Mollusk Collection
EKY,,"Eastern Kentucky University, Ronald L. Jones Herbarium"
EMC,,Eastern Michigan University Herbarium
ENLC,,Eastern Nevada Landscape Coalition
ENMU,,Eastern New Mexico University Herbarium
EVG,EVGC,Ed V Gage Collection
BLM,ELKOBLM,Elko BLM District Office Herbarium
EDOBLM,,Ely BLM Herbarium
GEO,,Emory University Herbarium
UMRM,NA,Enns Entomology Museum
NA,NA,Entomological Collection.
RUAC,NA,Entomological Museum
NA,NA,Entomological Research Collection
BMSC,NA,Entomology
CAS,ENT,Entomology
NVDA,NA,Entomology
NJSM,NA,Entomology
NYSM,ENT,Entomology
SDNH,NA,Entomology
SRSC,NA,Entomology
VMNH,NA,Entomology
DMNS,Ento & Arach,Entomology & Arachnology Collections
ANSP,ENT,Entomology Collection
CSCC,NA,Entomology Collection
DCH,DCEC,Entomology Collection
GCNP,NA,Entomology Collection
MONT,MTEC,Entomology Collection
SBMNH,SBMNHENT,Entomology Collection
UDAF,UDAFE,Entomology Collection
RBCM,ENT,Entomology Collection
UMNH,ENT,Entomology Collection at the Natural History Museum of Utah
USNM,USNMENT,Entomology Collections
YPM,ENT,Entomology Division
CONABIO,EMBN,Escarabajos y moscas de los bosques de niebla del sureste mexicano (Coleoptera: Scarabaeoidea; Diptera: Syrphidae y Calliphoridae)
EMEC,EMEC,Essig Museum of Entomology
EVE,,Evergreen Natural History Museum
FTG,,Fairchild Tropical Botanic Garden
FTG,,Fairchild Tropical Botanic Garden Herbarium
Harvard University,FH,Farlow Herbarium
FH,,Farlow Herbarium (Harvard University)
Harvard University,FH,Farlow Herbarium of Cryptogamic Botany
CONABIO,FIC,Fauna de insectos sociales del estado de Campeche
F,supplement,Field Museum - supplement data
F,,Field Museum of Natural History
F,F,Field Museum of Natural History - Fish
F,M,Field Museum of Natural History - Mollusks
FMNH,FMNHINS,"Field Museum of Natural History Collection of Insects, Arachnids, and Myriapods"
FMNH,Invertebrate Zoology,Field Museum of Natural History Invertebrates
PIHG,,"Florida Department of Agriculture and Consumer Services, Division of Plant Industry"
FLMNH,,Florida Museum of Natural History
FLMNH,MGCL,"Florida Museum of Natural History, McGuire Center for Lepidoptera and Biodiversity"
NPS,FLFO,Florissant Fossil Beds National Monument
FNL,,Foray Newfoundland and Labrador
FNL,,Foray Newfoundland and Labrador Fungarium
NAUF,NAUF5F,Forest Entomology Collection
DPI,?,Forestry Commission of NSW Insect Collection
UFIFAS,NA,Forestry Entomology Collection
?,TFIC,"Forestry Tasmania, Tasmanian Forest Insect Collection"
FHKSC,,Fort Hays State University Herbarium
NPS,FOLA,Fort Laramie National Historic Site
FLD,,Fort Lewis College Herbarium
FMUH,,Francis Marion University Herbarium
FHL,,Friday Harbor Laboratories
PSU,PSUC,Frost Entomological Museum
PSUC,ENTO,Frost Entomological Museum
FUGR,,"Furman University, Ives Herbarium"
UT,Botany,"Garrett Herbarium, Natural History Museum of Utah"
CNABH,,General Observation and Personal Collections
CNALH,Observation,General Observation and Personal Collections
MP,,General Observation and Personal Collections
SCAN,,General Research Observations
SEINet,,General Research Observations
GMUF,Plants,"George Mason University, Ted R. Bradley Herbarium"
UConn,CONN,George Safford Torrey Herbarium
GAS,,Georgia Southern University Herbarium
GSW,,Georgia Southwestern State University Herbarium
SNM,,Gila Center for Natural History (WNMU) Herbarium
USFS,GILA,Gila National Forest Herbarium
GCNP,,Grand Canyon National Park
GVSC,,Grand Valley State University
GMDRC,,Granite Mountains Desert Research Center
